,lead_time,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,hotel_Resort Hotel,meal,country,market_segment,reserved_room_type,assigned_room_type,deposit_type,customer_type
109831,140,17,28,2,2,2,0,0,0,0,2,0,130.0,0,2,0,BB,FRA,Offline TA/TO,A,A,No Deposit,Transient-Party
85424,0,13,22,0,3,1,0,0,0,0,0,0,111.33,0,1,0,SC,ITA,Online TA,A,A,No Deposit,Transient
68218,25,20,20,2,1,2,0,0,0,0,0,0,90.0,0,0,0,BB,PRT,Groups,A,A,No Deposit,Transient-Party
22602,0,16,13,0,2,1,0,0,0,0,0,0,95.0,0,0,1,BB,DEU,Direct,F,F,No Deposit,Transient
55952,80,37,7,0,1,3,0,0,0,0,0,0,168.3,0,0,0,BB,DEU,Online TA,D,D,No Deposit,Transient
97327,159,39,19,1,2,2,0,0,0,0,0,0,144.0,0,0,0,BB,BRA,Offline TA/TO,A,A,No Deposit,Transient-Party
91518,117,27,26,2,2,2,0,0,0,0,0,0,83.83,0,1,0,BB,PRT,Online TA,B,B,No Deposit,Transient-Party
15479,156,32,2,2,5,2,0,0,0,0,0,0,112.63,0,0,1,BB,GBR,Offline TA/TO,E,E,No Deposit,Transient
10062,238,6,10,0,2,2,0,0,0,0,0,0,54.0,0,0,1,HB,PRT,Groups,A,A,Non Refund,Transient
29131,21,44,29,2,1,2,0,0,0,0,0,0,135.0,0,1,1,HB,ESP,Online TA,E,E,No Deposit,Transient
59653,277,46,7,1,2,2,0,0,0,0,0,0,100.0,0,0,0,BB,PRT,Groups,A,A,Non Refund,Transient
11341,210,18,4,2,5,1,0,0,0,0,0,0,50.4,0,1,1,HB,PRT,Offline TA/TO,A,A,No Deposit,Transient
12530,347,27,3,3,7,3,1,0,0,0,0,0,184.0,0,0,1,BB,NOR,Online TA,H,H,No Deposit,Transient
97045,18,38,15,0,3,2,0,0,0,0,0,0,174.0,0,2,0,BB,ITA,Online TA,D,D,No Deposit,Transient
89476,98,23,30,1,1,2,0,0,0,0,1,0,89.75,1,0,0,BB,NLD,Offline TA/TO,A,A,No Deposit,Transient
26676,3,34,18,0,3,2,0,1,0,0,0,0,170.7,1,1,1,BB,ESP,Direct,A,A,No Deposit,Transient
109121,147,15,13,1,3,2,0,0,0,0,0,0,105.68,0,1,0,BB,DEU,Online TA,D,D,No Deposit,Transient
11108,278,16,21,2,2,2,0,0,0,0,0,0,81.0,0,0,1,BB,FIN,Online TA,E,E,No Deposit,Transient
8329,22,39,22,2,3,2,0,0,0,0,0,0,146.2,0,1,1,BB,IRL,Online TA,E,E,No Deposit,Transient
49237,108,17,18,1,4,2,0,0,0,0,0,0,82.4,0,0,0,BB,IRL,Online TA,A,A,No Deposit,Transient
52601,256,25,15,0,2,2,0,0,0,0,0,0,109.0,0,0,0,HB,PRT,Offline TA/TO,A,A,No Deposit,Transient-Party
51428,316,22,26,0,3,2,0,0,0,0,0,0,110.0,0,0,0,BB,AUT,Groups,A,A,No Deposit,Transient-Party
4104,38,7,13,0,1,2,0,0,0,0,0,0,58.0,0,0,1,BB,PRT,Online TA,A,A,No Deposit,Transient
85216,49,12,18,1,2,2,0,0,0,0,0,0,63.58,0,0,0,BB,GBR,Offline TA/TO,A,A,No Deposit,Transient
30465,0,3,15,1,0,2,0,0,0,1,0,0,41.0,0,0,1,BB,PRT,Direct,A,A,No Deposit,Transient
19112,13,52,23,0,4,1,0,0,0,0,1,0,73.75,0,1,1,BB,FRA,Online TA,E,E,No Deposit,Transient
110329,210,18,1,1,3,2,0,0,0,0,0,0,117.0,0,2,0,BB,DEU,Online TA,A,A,No Deposit,Transient
110389,0,18,3,0,2,1,0,0,0,0,0,0,150.0,0,2,0,SC,PRT,Online TA,A,A,No Deposit,Transient
106643,27,10,7,0,3,2,0,0,0,0,0,0,118.0,0,1,0,BB,GBR,Online TA,D,D,No Deposit,Transient
30791,1,52,20,0,1,1,0,0,0,0,0,0,30.0,1,0,1,BB,PRT,Corporate,A,D,No Deposit,Transient
111458,395,20,17,0,3,2,0,0,0,0,0,0,112.67,0,1,0,BB,DEU,Offline TA/TO,A,A,No Deposit,Transient-Party
57781,76,42,10,1,0,1,0,0,0,0,0,0,120.0,0,0,0,BB,PRT,Offline TA/TO,A,A,No Deposit,Transient-Party
8954,178,43,22,2,2,3,1,0,0,0,0,0,110.75,0,0,1,BB,SWE,Online TA,G,G,No Deposit,Transient
31857,6,3,20,1,2,2,0,0,0,0,0,0,34.0,0,1,1,BB,GBR,Offline TA/TO,A,A,No Deposit,Transient
